"group_id","category","field","raw_value","normalized_raw_value","current_normalized_value","occurrence_count","candidate_canonical_value","candidate_rationale","candidate_confidence","ambiguity","approval_status","accepted_mapping","source_references"
"65111ADFCE8F97272CA4F8494B3AC18181C996ADCE0EE4FF48C750AB862833FF","DATE_AFTER_AS_OF_WINDOW","DeliveryDate","49555","49555","49555","28","","The parsed date exceeds the workbook as-of plus seven-day window; no corrected date is invented.","none","True","pending","","1.Rau:1809; 1.Rau:1810; 1.Rau:1811; 1.Rau:1812; 1.Rau:1813; 1.Rau:1814; 1.Rau:1815; 1.Rau:1816; 1.Rau:1817; 1.Rau:1818; 1.Rau:1819; 1.Rau:1820; 1.Rau:1821; 1.Rau:1822; 1.Rau:1823; 1.Rau:1824; 1.Rau:1825; 1.Rau:1826; 1.Rau:1827; 1.Rau:1828; 1.Rau:1829; 1.Rau:1830; 1.Rau:1831; 1.Rau:1832; 1.Rau:1833; 1.Rau:1834; 1.Rau:1835; 1.Rau:1836"
"705209CCA983981A09C0D952CA526418B925E9BED65E3E05FCA4AA0A7EE064E5","DATE_INVALID","DeliveryDate","","",,"64","","The source date cannot be parsed deterministically; no corrected date is invented.","none","True","pending","","1.Rau:11658; 1.Rau:11659; 1.Rau:11660; 1.Rau:11661; 1.Rau:11662; 1.Rau:11663; 1.Rau:11664; 1.Rau:11665; 1.Rau:11666; 1.Rau:11667; 1.Rau:11668; 1.Rau:11669; 1.Rau:11670; 1.Rau:11671; 1.Rau:11672; 1.Rau:11673; 1.Rau:11674; 1.Rau:11675; 1.Rau:11676; 1.Rau:11677; 1.Rau:11678; 1.Rau:11679; 1.Rau:11680; 1.Rau:11681; 1.Rau:11682; 1.Rau:11683; 1.Rau:11684; 1.Rau:11685; 1.Rau:11686; 1.Rau:11687; 1.Rau:11688; 1.Rau:11689; 1.Rau:11690; 1.Rau:11691; 1.Rau:11692; 1.Rau:11693; 1.Rau:11694; 1.Rau:11695; 1.Rau:11696; 1.Rau:11697; 1.Rau:11698; 1.Rau:11699; 1.Rau:11700; 18. Tôm:152; 18. Tôm:174; 2.G.Vi:47654; 20.SC Lif:19; 20.SC Lif:20; 31.HỒNG DUY FOOD:9; 31.HỒNG DUY FOOD:10; 31.HỒNG DUY FOOD:11; 31.HỒNG DUY FOOD:12; 31.HỒNG DUY FOOD:13; 31.HỒNG DUY FOOD:14; 31.HỒNG DUY FOOD:15; 31.HỒNG DUY FOOD:16; 31.HỒNG DUY FOOD:17; 31.HỒNG DUY FOOD:18; 31.HỒNG DUY FOOD:19; 31.HỒNG DUY FOOD:20; 31.HỒNG DUY FOOD:21; 8.ĐL THÚY:32; 8.ĐL THÚY:33; 8.ĐL THÚY:34"
"24C20677972AC411126A4260F59C57BC2A3CE671EF318DACBDA8334B66FAAF16","DATE_INVALID","DeliveryDate","414797","414797",,"2","","The source date cannot be parsed deterministically; no corrected date is invented.","none","True","pending","","7.Tr.cây:67; 7.Tr.cây:68"
"60EEFC5AAB507E6DC25788A3FBF48AD2AE569CBBA30246C7C29429D1906BDD70","DATE_INVALID","DeliveryDate","414798","414798",,"1","","The source date cannot be parsed deterministically; no corrected date is invented.","none","True","pending","","7.Tr.cây:69"
"56CB5933BD92BC671BA27AC8BF07D8B4287469054F65F3E988AF3099BA11A737","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Ba ro","Ba ro","Ba ro","1","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","1.Rau:10768"
"CD870CDAD06FE4A8D4C8343DD2CD987DD5EF6CA37D7A31F228A30A010FE28EEC","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Bánh tráng gói ram","Bánh tráng gói ram","Bánh tráng gói ram","1","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","2.G.Vi:987"
"866821E238DA8078CA76E0C680FB719F3F06F85B0D0E97036C12DE2F5D609A7A","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Bì ngòi xanh","Bì ngòi xanh","Bì ngòi xanh","2","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","1.Rau:11430; 1.Rau:11527"
"520DFDC77AF8BFB7F6809AE0326474FBCD8E4C36006CCD7D845EE54D31BCAEFC","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Bó đỏ non","Bó đỏ non","Bó đỏ non","1","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","1.Rau:11583"
"CDAA02A15B056DE4D563DD430721EF6652E760B069E394B7D8629C55F250CEFD","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Bò vai","Bò vai","Bò vai","2","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","16.ĐL S.Ngọc:262; 16.ĐL S.Ngọc:264"
"7FC3F357EB56AD37777ED3239D6E9F61FF4D02B23E669C448D9B5399A2D50BC4","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Bông cải xanh","Bông cải xanh","Bông cải xanh","2","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","1.Rau:10559; 1.Rau:11481"
"41905210DB38421AFA21791AA091F9BB7740D60BE2FFD5DC6F7EE4FE532F44C3","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Bông lí","Bông lí","Bông lí","1","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","1.Rau:9925"
"6B14FFEC2A8013A6183DFBDA5588674F72AE45344A876930388BA35CDF88C4C8","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Búp giò heo nạc- chặt ~112lát/16,5kg","Búp giò heo nạc- chặt ~112lát/16,5kg","Búp giò heo nạc- chặt ~112lát/16,5kg","1","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","12.TS Dì Tài:1226"
"9BB549E8DC8F0F0D5FC85A4BF147DB9E6F6CDE751B83E082559BD08A0E80DDF1","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Cá cam 300-501","Cá cam 300-501","Cá cam 300-501","2","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","16.ĐL S.Ngọc:276; 16.ĐL S.Ngọc:278"
"936FF2826EA3553326057360EEE36854508F71C478814B7EC5E36C9CC320D124","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Cải con","Cải con","Cải con","1","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","1.Rau:11642"
"80013FF77B709BE44B33E5198EA0B1493BE64963FDF15221078CB2F98D8C958D","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Cảithiaf","Cảithiaf","Cảithiaf","1","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","1.Rau:9691"
"2B7320C93063BA6B6634A4DDA976FAC78743B1A88E62813BFEB75624AE97D974","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Căn cuộn chay","Căn cuộn chay","Căn cuộn chay","2","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","9.Chay:1181; 9.Chay:1197"
"8877DDDDCBE729757AB64C9DCC9120D2379CF7F6CC44BCF5FCAC89B9698352D2","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Chuối cây (ăn rau sống)","Chuối cây (ăn rau sống)","Chuối cây (ăn rau sống)","9","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","1.Rau:3304; 1.Rau:3413; 1.Rau:3689; 1.Rau:3850; 1.Rau:10622; 1.Rau:10755; 1.Rau:10871; 1.Rau:11051; 1.Rau:11567"
"320BCEF4932D833AFAB3B17FE8534554CFDE69AAF7E64E6C539A3BFBD2C6E1C3","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Chuối cây trắng (ăn rau sống)","Chuối cây trắng (ăn rau sống)","Chuối cây trắng (ăn rau sống)","3","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","1.Rau:3386; 1.Rau:3909; 1.Rau:4031"
"9C40232BA90605F4626DFB96BEA42831BC467C8CF48FA44E070B4FB61B9453E2","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Cốt lết cắt lát mỏng ( đập sẵn ~11lát/kg)","Cốt lết cắt lát mỏng ( đập sẵn ~11lát/kg)","Cốt lết cắt lát mỏng ( đập sẵn ~11lát/kg)","3","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","12.TS Dì Tài:1064; 12.TS Dì Tài:1136; 12.TS Dì Tài:1209"
"38EFBF131DA630285499A6AE5F1CE441EC1DE18F3E653FFA42F744D980DAD1EB","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Cốt lết cắt lát mỏng đập sẵn ( 11-12lát/kg)","Cốt lết cắt lát mỏng đập sẵn ( 11-12lát/kg)","Cốt lết cắt lát mỏng đập sẵn ( 11-12lát/kg)","1","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","12.TS Dì Tài:1055"
"3977CC538BFFCF132EBB5F960E55DA0AF6C278C02E578E119EAC08E892F5F00B","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Cốt lết cắt mỏng (~10lát/kg)","Cốt lết cắt mỏng (~10lát/kg)","Cốt lết cắt mỏng (~10lát/kg)","1","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","12.TS Dì Tài:1156"
"7965BEFC8AEF4EFDACB269DC81CE8314D387B6E6CE64F64F6368B0F6576FA77C","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Cốt lết cắt sẵn ( cây nhỏ)","Cốt lết cắt sẵn ( cây nhỏ)","Cốt lết cắt sẵn ( cây nhỏ)","2","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","11.ĐL TT:347; 11.ĐL TT:352"
"2DECFD47F36EADCAFB595939D128F0570584575A1C7C042D756CB66F76F3E4E5","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Cốt lết cây to cắt mỏng (~12lát/kg","Cốt lết cây to cắt mỏng (~12lát/kg","Cốt lết cây to cắt mỏng (~12lát/kg","1","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","12.TS Dì Tài:1091"
"EA8BA534EBF2617DDA310CF30955060DF37950D104C06F2D9E997B9D96258FF4","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Cốt lết cây to cắt mỏng (~12lát/kg)","Cốt lết cây to cắt mỏng (~12lát/kg)","Cốt lết cây to cắt mỏng (~12lát/kg)","1","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","12.TS Dì Tài:1111"
"3645B4C1D1208B2FF05ACE8E4D2E212D5C2E07FAF2B3DFA26D5C1EAD134A09DF","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Cốt lết tươi cắt sẵn ( 11lát/suất)","Cốt lết tươi cắt sẵn ( 11lát/suất)","Cốt lết tươi cắt sẵn ( 11lát/suất)","1","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","12.TS Dì Tài:1178"
"4B23058222D8C206F61E3A3F710A1F2F0A3DDC54639C04620E0C095F9F8E39DF","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Đậu bắp ( lựa non)","Đậu bắp ( lựa non)","Đậu bắp ( lựa non)","1","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","1.Rau:10172"
"11573CA58500FB227DE34137825B077ECF06B574741A5C614ADAB4979043F644","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Đậu chiên lát lớn","Đậu chiên lát lớn","Đậu chiên lát lớn","1","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","9.Chay:1200"
"359B9D74C5397DA6AB4ED902ACD11407794492F9B787D5801BCD0781B3A8E28E","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Đậu khuôn chiên lớn","Đậu khuôn chiên lớn","Đậu khuôn chiên lớn","1","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","9.Chay:1208"
"EBACD2D6B260D97B5534351CF48CB293F82C0BCE0B2F9907492FC929845FA6AF","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Đậu khuôn sống lấy nhỏ","Đậu khuôn sống lấy nhỏ","Đậu khuôn sống lấy nhỏ","1","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","9.Chay:1123"
"433787F59F55FA84F567AB74DBF5D49901B03046A091B260AF5F61374FAE9849","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Dẻ sườn bò","Dẻ sườn bò","Dẻ sườn bò","2","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","12.TS Dì Tài:1168; 12.TS Dì Tài:1175"
"3D8465C7B80CBA958FF0F1AB74FCBFCD62D02873DB5CDFB057B6CED77A412D66","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Diếp cá","Diếp cá","Diếp cá","2","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","1.Rau:10514; 1.Rau:11653"
"D7EC8416082296CFFE4717883AEAAF18ACFDB448EB8B222E0B73838AF4061C87","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Đù gà chay","Đù gà chay","Đù gà chay","2","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","9.Chay:1137; 9.Chay:1184"
"468A370022370899C85D45F823B60ABB7B88E413FEF08F5E1518328A97F25D47","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Đùi gà tỏi nhỏ","Đùi gà tỏi nhỏ","Đùi gà tỏi nhỏ","1","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","11.ĐL TT:389"
"F6E446558691DD8728F740E0CA76012BAA8BFA0ED72F0832A57C70E0A2463E58","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Đùi má","Đùi má","Đùi má","2","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","11.ĐL TT:342; 11.ĐL TT:344"
"5EA7A55B61950BD4586FFDB2B40FE59598896E7153A9400A24A3D4B65BC0283D","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Giò","Giò","Giò","2","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","12.TS Dì Tài:1149; 12.TS Dì Tài:1215"
